Period,Method,Field,Country,Internationality
2001,euclid,top_Life,Afghanistan,
2001,euclid,top_Life,Albania,0.31015958835437746
2001,euclid,top_Life,Algeria,0.4968641719219252
2001,euclid,top_Life,American Samoa,0.22179065746025753
2001,euclid,top_Life,Andorra,
2001,euclid,top_Life,Angola,
2001,euclid,top_Life,Anguilla,
2001,euclid,top_Life,Antarctica,
2001,euclid,top_Life,Antigua and Barbuda,
2001,euclid,top_Life,Argentina,0.325708307515496
2001,euclid,top_Life,Armenia,0.7038439002886021
2001,euclid,top_Life,Aruba,
2001,euclid,top_Life,Australia,0.3901106060959822
2001,euclid,top_Life,Austria,0.32137590854933984
2001,euclid,top_Life,Azerbaijan,0.7677716630938866
2001,euclid,top_Life,Bahamas,
2001,euclid,top_Life,Bahrain,0.39070570297363383
2001,euclid,top_Life,Bangladesh,0.5868402516469715
2001,euclid,top_Life,Barbados,0.3118179586735444
2001,euclid,top_Life,Belarus,0.6238251785982345
2001,euclid,top_Life,Belgium,0.30356061056980616
2001,euclid,top_Life,Belize,
2001,euclid,top_Life,Benin,0.35445482797718814
2001,euclid,top_Life,Bermuda,0.22235295708477143
2001,euclid,top_Life,Bhutan,0.44963245604194935
2001,euclid,top_Life,Bolivia,0.3520965840005756
2001,euclid,top_Life,Bosnia and Herzegovina,0.3703093356939426
2001,euclid,top_Life,Botswana,0.4470272117054262
2001,euclid,top_Life,Bouvet Island,
2001,euclid,top_Life,Brazil,0.4895030644204451
2001,euclid,top_Life,British Indian Ocean Territory,
2001,euclid,top_Life,Brunei Darussalam,0.3440537743288407
2001,euclid,top_Life,Bulgaria,0.42131968250420004
2001,euclid,top_Life,Burkina Faso,0.3120833961879874
2001,euclid,top_Life,Burundi,0.1107844747532273
2001,euclid,top_Life,Cambodia,0.46354110062850395
2001,euclid,top_Life,Cameroon,0.3595966969445484
2001,euclid,top_Life,Canada,0.36814274424687804
2001,euclid,top_Life,Cape Verde,
2001,euclid,top_Life,Cayman Islands,
2001,euclid,top_Life,Central African Republic,0.32225860650737337
2001,euclid,top_Life,Chad,0.3486390315598095
2001,euclid,top_Life,Chile,0.29762021304917097
2001,euclid,top_Life,China,0.6683751976628081
2001,euclid,top_Life,Christmas Island,
2001,euclid,top_Life,Cocos (Keeling) Islands,
2001,euclid,top_Life,Colombia,0.3095304987651583
2001,euclid,top_Life,Comoros,
2001,euclid,top_Life,Congo,0.3361765099967033
2001,euclid,top_Life,Cook Islands,
2001,euclid,top_Life,Costa Rica,0.3769879388738505
2001,euclid,top_Life,Cote d'Ivoire,0.33911234403594054
2001,euclid,top_Life,Croatia,0.3491293790646044
2001,euclid,top_Life,Cuba,0.5131682538731108
2001,euclid,top_Life,Cyprus,0.29318037564163935
