Period,Method,Field,Country,Internationality
2001,euclid,top_Life,Afghanistan,
2001,euclid,top_Life,Albania,0.3200455347064587
2001,euclid,top_Life,Algeria,0.42880728204915924
2001,euclid,top_Life,American Samoa,0.21000267088381452
2001,euclid,top_Life,Andorra,0.6431814239000138
2001,euclid,top_Life,Angola,0.6102275009820226
2001,euclid,top_Life,Anguilla,
2001,euclid,top_Life,Antarctica,
2001,euclid,top_Life,Antigua and Barbuda,
2001,euclid,top_Life,Argentina,0.3461667686139009
2001,euclid,top_Life,Armenia,0.6224127486243181
2001,euclid,top_Life,Aruba,
2001,euclid,top_Life,Australia,0.37116965204833613
2001,euclid,top_Life,Austria,0.3227389731392099
2001,euclid,top_Life,Azerbaijan,0.5521011076571214
2001,euclid,top_Life,Bahamas,0.3883533042672299
2001,euclid,top_Life,Bahrain,0.4571046302330679
2001,euclid,top_Life,Bangladesh,0.5166303761433624
2001,euclid,top_Life,Barbados,0.2877127983231965
2001,euclid,top_Life,Belarus,0.5548908614442876
2001,euclid,top_Life,Belgium,0.30671552732458535
2001,euclid,top_Life,Belize,0.2238072635618002
2001,euclid,top_Life,Benin,0.3519992405868718
2001,euclid,top_Life,Bermuda,0.264173486847623
2001,euclid,top_Life,Bhutan,0.4462169495279822
2001,euclid,top_Life,Bolivia,0.36353966467154025
2001,euclid,top_Life,Bosnia and Herzegovina,0.4457337336632263
2001,euclid,top_Life,Botswana,0.37854193406106873
2001,euclid,top_Life,Bouvet Island,
2001,euclid,top_Life,Brazil,0.4374718565227001
2001,euclid,top_Life,British Indian Ocean Territory,
2001,euclid,top_Life,Brunei Darussalam,0.4186376641680929
2001,euclid,top_Life,Bulgaria,0.3729966701515406
2001,euclid,top_Life,Burkina Faso,0.33454171637871016
2001,euclid,top_Life,Burundi,0.18318804337363936
2001,euclid,top_Life,Cambodia,0.4198563973771188
2001,euclid,top_Life,Cameroon,0.3763680185744408
2001,euclid,top_Life,Canada,0.35817255345084426
2001,euclid,top_Life,Cape Verde,
2001,euclid,top_Life,Cayman Islands,0.46711685166935374
2001,euclid,top_Life,Central African Republic,0.32781986914854294
2001,euclid,top_Life,Chad,0.6329920704223502
2001,euclid,top_Life,Chile,0.30271328439914
2001,euclid,top_Life,China,0.5647911469841337
2001,euclid,top_Life,Christmas Island,
2001,euclid,top_Life,Cocos (Keeling) Islands,
2001,euclid,top_Life,Colombia,0.3135314828820906
2001,euclid,top_Life,Comoros,
2001,euclid,top_Life,Congo,0.3537645542910299
2001,euclid,top_Life,Cook Islands,
2001,euclid,top_Life,Costa Rica,0.3651666379436651
2001,euclid,top_Life,Cote d'Ivoire,0.36512164759406474
2001,euclid,top_Life,Croatia,0.41388494761121974
2001,euclid,top_Life,Cuba,0.40403966919874773
2001,euclid,top_Life,Cyprus,0.31019892325827764
2001,euclid,top_Life,Czech Republic,0.41404507864145623
2001,euclid,top_Life,Democratic Republic Congo,0.3310460499159938
2001,euclid,top_Life,Denmark,0.3012541626467533
2001,euclid,top_Life,Djibouti,0.22853249978189985
2001,euclid,top_Life,Dominica,0.41235956367768856
2001,euclid,top_Life,Dominican Republic,0.35402184912723395
2001,euclid,top_Life,Ecuador,0.35281525707796635
2001,euclid,top_Life,Egypt,0.35896077156748213
