Country,field,method,period,Q4,Q3,Q2,Q1,Documents,Journals
Afghanistan,top_Social,euclid,2005,0.0,0.0,0.0,1.0,1.0,1.0
Albania,top_Social,euclid,2005,0.5,0.0,0.25,0.25,4.0,4.0
Algeria,top_Social,euclid,2005,0.18518518518518517,0.14814814814814814,0.4444444444444444,0.2222222222222222,27.0,15.0
American Samoa,top_Social,euclid,2005,,,,,0.0,0.0
Angola,top_Social,euclid,2005,,,,,0.0,0.0
Argentina,top_Social,euclid,2005,0.09615384615384616,0.25,0.3076923076923077,0.34615384615384615,208.0,126.0
Armenia,top_Social,euclid,2005,0.3333333333333333,0.16666666666666666,0.5,0.0,6.0,6.0
Aruba,top_Social,euclid,2005,,,,,0.0,0.0
Australia,top_Social,euclid,2005,0.13163596966413868,0.1947453954496208,0.26950162513542797,0.40411700975081255,3692.0,988.0
Austria,top_Social,euclid,2005,0.11411992263056092,0.10638297872340426,0.2940038684719536,0.48549323017408125,517.0,307.0
Azerbaijan,top_Social,euclid,2005,1.0,0.0,0.0,0.0,1.0,1.0
Bahamas,top_Social,euclid,2005,0.0,0.0,1.0,0.0,1.0,1.0
Bahrain,top_Social,euclid,2005,0.0,0.23076923076923078,0.15384615384615385,0.6153846153846154,13.0,13.0
Bangladesh,top_Social,euclid,2005,0.08,0.14,0.38,0.4,50.0,40.0
Barbados,top_Social,euclid,2005,0.0,0.5,0.0,0.5,6.0,6.0
Belarus,top_Social,euclid,2005,0.23076923076923078,0.038461538461538464,0.15384615384615385,0.5769230769230769,26.0,15.0
Belgium,top_Social,euclid,2005,0.11448395490026018,0.1170858629661752,0.31743278404163056,0.45099739809193407,1153.0,546.0
Belize,top_Social,euclid,2005,0.0,0.0,0.0,1.0,1.0,1.0
Benin,top_Social,euclid,2005,0.4,0.2,0.2,0.2,5.0,4.0
Bermuda,top_Social,euclid,2005,0.0,0.0,0.0,1.0,2.0,2.0
Bhutan,top_Social,euclid,2005,0.0,0.0,1.0,0.0,1.0,1.0
Bolivia,top_Social,euclid,2005,0.13333333333333333,0.13333333333333333,0.4,0.3333333333333333,15.0,15.0
Bosnia and Herzegovina,top_Social,euclid,2005,0.5,0.25,0.0625,0.1875,16.0,8.0
Botswana,top_Social,euclid,2005,0.15384615384615385,0.23076923076923078,0.3076923076923077,0.3076923076923077,39.0,33.0
Brazil,top_Social,euclid,2005,0.06776859504132231,0.18181818181818182,0.23305785123966943,0.5173553719008265,605.0,314.0
Brunei Darussalam,top_Social,euclid,2005,0.3333333333333333,0.16666666666666666,0.0,0.5,6.0,5.0
Bulgaria,top_Social,euclid,2005,0.075,0.1,0.225,0.6,40.0,30.0
Burkina Faso,top_Social,euclid,2005,0.26666666666666666,0.13333333333333333,0.4,0.2,15.0,11.0
Cambodia,top_Social,euclid,2005,0.25,0.5,0.0,0.25,4.0,3.0
Cameroon,top_Social,euclid,2005,0.4,0.12,0.24,0.24,25.0,15.0
Canada,top_Social,euclid,2005,0.11788211788211789,0.23816183816183817,0.27412587412587414,0.3698301698301698,5005.0,1196.0
Cayman Islands,top_Social,euclid,2005,0.0,0.0,0.5,0.5,2.0,2.0
Central African Republic,top_Social,euclid,2005,,,,,0.0,0.0
Chad,top_Social,euclid,2005,0.0,0.0,1.0,0.0,2.0,2.0
Chile,top_Social,euclid,2005,0.07894736842105263,0.2236842105263158,0.3026315789473684,0.39473684210526316,152.0,108.0
China,top_Social,euclid,2005,0.47032418952618454,0.05885286783042394,0.16059850374064838,0.31022443890274315,2005.0,434.0
Colombia,top_Social,euclid,2005,0.14666666666666667,0.29333333333333333,0.21333333333333335,0.3466666666666667,75.0,57.0
Congo,top_Social,euclid,2005,0.3333333333333333,0.0,0.6666666666666666,0.0,3.0,3.0
Costa Rica,top_Social,euclid,2005,0.034482758620689655,0.3103448275862069,0.3103448275862069,0.3448275862068966,29.0,25.0
Cote d'Ivoire,top_Social,euclid,2005,0.0,0.42857142857142855,0.2857142857142857,0.2857142857142857,7.0,5.0
Croatia,top_Social,euclid,2005,0.7269736842105263,0.1611842105263158,0.049342105263157895,0.0625,304.0,43.0
Cuba,top_Social,euclid,2005,0.1,0.2,0.25,0.45,20.0,16.0
Cyprus,top_Social,euclid,2005,0.056338028169014086,0.19718309859154928,0.23943661971830985,0.5070422535211268,71.0,60.0
Czech Republic,top_Social,euclid,2005,0.52734375,0.140625,0.12890625,0.203125,256.0,90.0
Democratic Republic Congo,top_Social,euclid,2005,,,,,0.0,0.0
Denmark,top_Social,euclid,2005,0.045,0.11833333333333333,0.3283333333333333,0.5083333333333333,600.0,347.0
Dominica,top_Social,euclid,2005,0.0,0.0,0.0,1.0,1.0,1.0
Dominican Republic,top_Social,euclid,2005,0.0,0.0,0.0,1.0,1.0,1.0
Ecuador,top_Social,euclid,2005,0.125,0.0,0.0,0.875,8.0,6.0
Egypt,top_Social,euclid,2005,0.15384615384615385,0.0641025641025641,0.4358974358974359,0.34615384615384615,78.0,47.0
El Salvador,top_Social,euclid,2005,0.4,0.2,0.4,0.0,5.0,5.0
Eritrea,top_Social,euclid,2005,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0,3.0
