country_code,imf2003
AND,Advanced countries
CHN,Developing countries
ATG,Developing countries
ARG,Developing countries
AUS,Advanced countries
AUT,Advanced countries
IND,Developing countries
BHS,Developing countries
BHR,Developing countries
BRB,Developing countries
BEL,Advanced countries
BRN,Developing countries
ALB,Transition countries
BRA,Developing countries
CAN,Advanced countries
CHL,Developing countries
ARM,Transition countries
TUR,Developing countries
HRV,Transition countries
CYP,Advanced countries
IRN,Developing countries
CZE,Transition countries
DNK,Advanced countries
EST,Transition countries
FIN,Advanced countries
MEX,Developing countries
AZE,Transition countries
FRA,Advanced countries
DEU,Advanced countries
GRC,Advanced countries
HKG,Advanced countries
ZAF,Developing countries
HUN,Transition countries
ISL,Advanced countries
MYS,Developing countries
IRL,Advanced countries
ISR,Advanced countries
EGY,Developing countries
ITA,Advanced countries
BLR,Transition countries
JPN,Advanced countries
BIH,Transition countries
THA,Developing countries
PAK,Developing countries
KWT,Developing countries
BGR,Transition countries
LVA,Transition countries
LIE,Advanced countries
COL,Developing countries
LTU,Transition countries
NGA,Developing countries
GEO,Transition countries
TUN,Developing countries
IDN,Developing countries
LUX,Advanced countries
DZA,Developing countries
MAR,Developing countries
KAZ,Transition countries
VNM,Developing countries
CUB,Developing countries
BGD,Developing countries
MLT,Developing countries
JOR,Developing countries
VEN,Developing countries
KGZ,Transition countries
KEN,Developing countries
MCO,Advanced countries
PHL,Developing countries
LBN,Developing countries
PER,Developing countries
ETH,Developing countries
NLD,Advanced countries
IRQ,Developing countries
NZL,Advanced countries
NOR,Advanced countries
OMN,Developing countries
PLW,Developing countries
GHA,Developing countries
PAN,Developing countries
TZA,Developing countries
UGA,Developing countries
POL,Transition countries
CMR,Developing countries
MKD,Transition countries
MDA,Transition countries
MNG,Transition countries
LKA,Developing countries
PRT,Advanced countries
ECU,Developing countries
MNE,Transition countries
NPL,Developing countries
CRI,Developing countries
QAT,Developing countries
SEN,Developing countries
ROU,Transition countries
RUS,Transition countries
ZWE,Developing countries
SDN,Developing countries
MWI,Developing countries
SYR,Developing countries
KNA,Developing countries
BFA,Developing countries
BWA,Developing countries
PSE,Developing countries
SRB,Transition countries
CIV,Developing countries
ZMB,Developing countries
SMR,Advanced countries
SAU,Developing countries
BEN,Developing countries
SYC,Developing countries
JAM,Developing countries
COG,Developing countries
BOL,Developing countries
MDG,Developing countries
LBY,Developing countries
YEM,Developing countries
SGP,Advanced countries
SVK,Transition countries
KHM,Developing countries
MOZ,Developing countries
MLI,Developing countries
SVN,Transition countries
TJK,Transition countries
FJI,Developing countries
NAM,Developing countries
GTM,Developing countries
RWA,Developing countries
GAB,Developing countries
LAO,Developing countries
MUS,Developing countries
GMB,Developing countries
PNG,Developing countries
MMR,Developing countries
NER,Developing countries
TKM,Transition countries
KOR,Advanced countries
PRY,Developing countries
TGO,Developing countries
ESP,Advanced countries
NIC,Developing countries
GRD,Developing countries
UKR,Transition countries
DOM,Developing countries
SLV,Developing countries
SWZ,Developing countries
SWE,Advanced countries
HND,Developing countries
AFG,Developing countries
HTI,Developing countries
AGO,Developing countries
GIN,Developing countries
SLE,Developing countries
COD,Developing countries
BTN,Developing countries
PRK,Developing countries
CAF,Developing countries
CHE,Advanced countries
MRT,Developing countries
LSO,Developing countries
GNB,Developing countries
GUY,Developing countries
ERI,Developing countries
TWN,Advanced countries
TCD,Developing countries
BDI,Developing countries
TTO,Developing countries
LBR,Developing countries
VUT,Developing countries
BLZ,Developing countries
SLB,Developing countries
SUR,Developing countries
DMA,Developing countries
CPV,Developing countries
WSM,Developing countries
MDV,Developing countries
UZB,Transition countries
FSM,Developing countries
DJI,Developing countries
ARE,Developing countries
GBR,Advanced countries
USA,Advanced countries
GNQ,Developing countries
TLS,Developing countries
URY,Developing countries
SOM,Developing countries
TON,Developing countries
COM,Developing countries
LCA,Developing countries
VCT,Developing countries
MHL,Developing countries
KIR,Developing countries
STP,Developing countries
TUV,Developing countries
NRU,Developing countries
_Europe,
_NAmer,
_SAmer,
_CAsia,
_MEast,
_EAsia,
_SAsia,
_Pac,
_NAfr,
_SSAfr,
_UMI,
_HI,
_LMI,
_LI,
_EU15,
_EU13,
_EU,
_OECD,
_ADV,
_TRA,
_DEV,
_AV,
