Country,field,method,period,Q4,Q3,Q2,Q1,Documents,Journals
Afghanistan,top_Social,euclid,2005,0.0,0.0,0.0,1.0,1.0,1.0
Albania,top_Social,euclid,2005,0.5,0.0,0.25,0.25,4.0,4.0
Algeria,top_Social,euclid,2005,0.1851851851851851,0.1481481481481481,0.4444444444444444,0.2222222222222222,27.0,15.0
American Samoa,top_Social,euclid,2005,,,,,0.0,0.0
Angola,top_Social,euclid,2005,,,,,0.0,0.0
Argentina,top_Social,euclid,2005,0.0961538461538461,0.25,0.3076923076923077,0.3461538461538461,208.0,126.0
Armenia,top_Social,euclid,2005,0.3333333333333333,0.1666666666666666,0.5,0.0,6.0,6.0
Aruba,top_Social,euclid,2005,,,,,0.0,0.0
Australia,top_Social,euclid,2005,0.1316359696641386,0.1947453954496208,0.2695016251354279,0.4041170097508125,3692.0,988.0
Austria,top_Social,euclid,2005,0.1141199226305609,0.1063829787234042,0.2940038684719536,0.4854932301740812,517.0,307.0
Azerbaijan,top_Social,euclid,2005,1.0,0.0,0.0,0.0,1.0,1.0
Bahamas,top_Social,euclid,2005,0.0,0.0,1.0,0.0,1.0,1.0
Bahrain,top_Social,euclid,2005,0.0,0.2307692307692307,0.1538461538461538,0.6153846153846154,13.0,13.0
Bangladesh,top_Social,euclid,2005,0.08,0.14,0.38,0.4,50.0,40.0
Barbados,top_Social,euclid,2005,0.0,0.5,0.0,0.5,6.0,6.0
Belarus,top_Social,euclid,2005,0.2307692307692307,0.0384615384615384,0.1538461538461538,0.5769230769230769,26.0,15.0
Belgium,top_Social,euclid,2005,0.1144839549002601,0.1170858629661752,0.3174327840416305,0.450997398091934,1153.0,546.0
Belize,top_Social,euclid,2005,0.0,0.0,0.0,1.0,1.0,1.0
Benin,top_Social,euclid,2005,0.4,0.2,0.2,0.2,5.0,4.0
Bermuda,top_Social,euclid,2005,0.0,0.0,0.0,1.0,2.0,2.0
Bhutan,top_Social,euclid,2005,0.0,0.0,1.0,0.0,1.0,1.0
Bolivia,top_Social,euclid,2005,0.1333333333333333,0.1333333333333333,0.4,0.3333333333333333,15.0,15.0
Bosnia and Herzegovina,top_Social,euclid,2005,0.5,0.25,0.0625,0.1875,16.0,8.0
Botswana,top_Social,euclid,2005,0.1538461538461538,0.2307692307692307,0.3076923076923077,0.3076923076923077,39.0,33.0
Brazil,top_Social,euclid,2005,0.0677685950413223,0.1818181818181818,0.2330578512396694,0.5173553719008265,605.0,314.0
Brunei Darussalam,top_Social,euclid,2005,0.3333333333333333,0.1666666666666666,0.0,0.5,6.0,5.0
Bulgaria,top_Social,euclid,2005,0.075,0.1,0.225,0.6,40.0,30.0
Burkina Faso,top_Social,euclid,2005,0.2666666666666666,0.1333333333333333,0.4,0.2,15.0,11.0
Cambodia,top_Social,euclid,2005,0.25,0.5,0.0,0.25,4.0,3.0
Cameroon,top_Social,euclid,2005,0.4,0.12,0.24,0.24,25.0,15.0
Canada,top_Social,euclid,2005,0.1178821178821178,0.2381618381618381,0.2741258741258741,0.3698301698301698,5005.0,1196.0
Cayman Islands,top_Social,euclid,2005,0.0,0.0,0.5,0.5,2.0,2.0
Central African Republic,top_Social,euclid,2005,,,,,0.0,0.0
Chad,top_Social,euclid,2005,0.0,0.0,1.0,0.0,2.0,2.0
Chile,top_Social,euclid,2005,0.0789473684210526,0.2236842105263158,0.3026315789473684,0.3947368421052631,152.0,108.0
China,top_Social,euclid,2005,0.4703241895261845,0.0588528678304239,0.1605985037406483,0.3102244389027431,2005.0,434.0
Colombia,top_Social,euclid,2005,0.1466666666666666,0.2933333333333333,0.2133333333333333,0.3466666666666667,75.0,57.0
Congo,top_Social,euclid,2005,0.3333333333333333,0.0,0.6666666666666666,0.0,3.0,3.0
Costa Rica,top_Social,euclid,2005,0.0344827586206896,0.3103448275862069,0.3103448275862069,0.3448275862068966,29.0,25.0
Cote d'Ivoire,top_Social,euclid,2005,0.0,0.4285714285714285,0.2857142857142857,0.2857142857142857,7.0,5.0
Croatia,top_Social,euclid,2005,0.7269736842105263,0.1611842105263158,0.0493421052631578,0.0625,304.0,43.0
Cuba,top_Social,euclid,2005,0.1,0.2,0.25,0.45,20.0,16.0
Cyprus,top_Social,euclid,2005,0.056338028169014,0.1971830985915492,0.2394366197183098,0.5070422535211268,71.0,60.0
Czech Republic,top_Social,euclid,2005,0.52734375,0.140625,0.12890625,0.203125,256.0,90.0
Democratic Republic Congo,top_Social,euclid,2005,,,,,0.0,0.0
Denmark,top_Social,euclid,2005,0.045,0.1183333333333333,0.3283333333333333,0.5083333333333333,600.0,347.0
Dominica,top_Social,euclid,2005,0.0,0.0,0.0,1.0,1.0,1.0
Dominican Republic,top_Social,euclid,2005,0.0,0.0,0.0,1.0,1.0,1.0
Ecuador,top_Social,euclid,2005,0.125,0.0,0.0,0.875,8.0,6.0
Egypt,top_Social,euclid,2005,0.1538461538461538,0.0641025641025641,0.4358974358974359,0.3461538461538461,78.0,47.0
El Salvador,top_Social,euclid,2005,0.4,0.2,0.4,0.0,5.0,5.0
Eritrea,top_Social,euclid,2005,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0,3.0
